name,fullname,address,coordinates,time_window_start,time_window_end,available_hours,availability,dogs,cats,smokes
Stijn,Stijn Wouters,"Frankenlaan 1N, 6419BT Heerlen, Heerlen",50.8779418 5.9680263,10:00,16:00,,"wednesday, thursday, friday",1,2,False
Sanne,Sanne van Vliet,"Vorstenstraat 20, 6411VW Heerlen, Heerlen",50.8896677 5.9651524,13:00,18:30,,"monday, wednesday, thursday",-1,0,False
Julia,Julia van der Meer,"Bekkerweg 133, 6417BV Heerlen, Heerlen",50.8785686 5.9862327,11:00,17:00,,"monday, wednesday, friday",0,1,True
Thijs,Thijs Kleijn,"Grasbroekerweg 30A, 6412BE Heerlen, Heerlen",50.8943697 5.975717,12:30,15:30,,"tuesday, wednesday, friday",-1,-1,False
Marit,Marit Willems,"Promenade 181, 6411JG Heerlen, Heerlen",50.8869583 5.9754659,09:00,12:30,,"monday, wednesday, thursday",-1,-1,True
Thomas,Thomas van den Berg,"Homeruspassage 18, 6411AX Heerlen, Heerlen",50.8858304 5.9698793,11:30,15:30,,"monday, tuesday, wednesday",2,1,False
Thijs,Thijs van den Berg,"Schovenhof 16, 6418JN Heerlen, Heerlen",50.8723311 6.0076775,13:00,19:00,,"monday, tuesday, wednesday",0,1,False
Yara,Yara Veldhuis,"Van Weerden Poelmanstraat 97, 6417EL Heerlen, Heerlen",50.8750911 5.9834788,11:30,15:30,,"monday, tuesday, friday",1,-1,False
Wout,Wout Wessels,"Maandagstraat 18, 6416BJ Heerlen, Heerlen",50.8869042 5.9950188,11:30,16:30,,"monday, wednesday, friday",1,-1,True
Finn,Finn de Vries,"Asterstraat 19, 6414PX Heerlen, Heerlen",50.9250126 5.9633553,08:00,14:00,,"monday, tuesday, friday",-1,1,True
Marit,Marit Smits,"Pancratiusstraat 96, 6411KC Heerlen, Heerlen",50.8882602 5.9810893,08:00,14:00,,"monday, tuesday, friday",-1,-1,False
Mats,Mats Hendriks,"Jan Campertstraat 13-GB20, 6416SG Heerlen, Heerlen",50.8812731 6.0083672,12:30,18:00,,"monday, wednesday, thursday",1,1,False
Levi,Levi Kool,"Kloosterkoolhof 28F, 6415XT Heerlen, Heerlen",50.8913671 5.9877201,13:30,17:00,,"tuesday, wednesday, friday",-1,1,True
Julia,Julia Smit,"Nazarethstraat 30, 6418GD Heerlen, Heerlen",50.868163 6.0076985,12:30,15:30,,"monday, tuesday, friday",2,-1,False
Thijs,Thijs Vos,"Maanplein 35, 6412AZ Heerlen, Heerlen",50.8918475 5.9746256,07:00,10:30,,"tuesday, thursday, friday",1,2,False
Stijn,Stijn Hofman,"Cambriumstraat 21, 6412DK Heerlen, Heerlen",50.8985557 5.9624005,14:00,17:00,,"monday, tuesday, wednesday",1,-1,True
Thijs,Thijs van Leeuwen,"Palestinastraat 310, 6418HP Heerlen, Heerlen",50.8689542 6.0107724,14:30,19:00,,"tuesday, thursday, friday",-1,-1,True
Yara,Yara Vermeulen,"Mesdagstraat 27, 6415TK Heerlen, Heerlen",50.8987633 5.9902372,10:00,15:30,,"tuesday, wednesday, friday",-1,1,True
Julia,Julia Wessels,"Parallelweg 137, 6411NT Heerlen, Heerlen",50.8908721 5.9657884,14:00,18:00,,"tuesday, thursday, friday",-1,-1,True
Joris,Joris Hoekstra,"Paulus Potterstraat 5, 6415TW Heerlen, Heerlen",50.8992867 5.9921575,11:00,16:30,,"wednesday, thursday, friday",-1,-1,True
