client_name,address,coordinates,edge_id,u,v,key,edge_name,highway,distance_m
Mw. Peters 0,"Edisonstraat 169, 6412TT Heerlen",50.9009069 5.9726029,3423,42048232,42050531,0,Palemigerboord,tertiary,31.462542785506365
Dhr. Postma 1,"Asterstraat 19, 6414PX Heerlen",50.9250126 5.9633553,5091,42071604,42072377,0,Asterstraat | Tulpstraat,residential,29.853863239038812
Mw. Hendriks 2,"Tempsplein 13, 6411ES Heerlen",50.8849685 5.9788965,2016,42029699,4163674309,0,Tempsplein,residential,13.093738805263373
Dhr. Bakker 3,"Bekkerweg 133, 6417BV Heerlen",50.8785686 5.9862327,1631,42021208,4356340046,0,Bekkerweg,residential,11.815770045273593
Dhr. Jacobs 4,"Kampstraat 124, 6413EG Heerlen",50.9193216 5.9595728,4602,42065866,42067672,0,Kampstraat,residential,8.710333648158596
Mw. Kuipers 5,"Maandagstraat 18, 6416BJ Heerlen",50.8869042 5.9950188,2145,42032302,42032341,0,Maandagstraat,residential,15.144990851623387
Dhr. Smit 6,"K.L.M.-straat 3, 6417AW Heerlen",50.874236 5.9876054,1085,42012424,42012414,0,K.L.M.-straat,residential,15.9651268367227
Mw. Visser 7,"Vorstenstraat 20, 6411VW Heerlen",50.8896677 5.9651524,2245,42035027,42035582,0,Vorstenstraat,residential,14.528827018145924
Mw. van der Meer 8,"Gasthuisstraat 24A, 6411KE Heerlen",50.8876999 5.9825484,2205,42033706,3345862100,0,Pancratiusstraat | Gasthuisstraat | Bongerd,residential,24.44484845282226
Dhr. Kuipers 9,"Dokter de Weverlaan 7, 6416GN Heerlen",50.879376 5.9935534,1481,42018708,42022301,0,Dokter de Weverlaan,residential,14.298880005248582
Mw. de Boer 10,"Dillegaard 144, 6417HK Heerlen",50.8702745 5.979561,596,42005887,42006147,0,Dillegaard,living_street,20.429751921767586
Mw. van Leeuwen 11,"Hofstraat 40, 6414SX Heerlen",50.9245429 5.973011,5086,42071572,42071662,0,Hofstraat,residential,23.882018511585766
Mw. Bakker 12,"Burg. van Grunsvenplein 105, 6411AR Heerlen",50.8863477 5.9738006,6853,10023824142,10023824180,0,Burgemeester van Grunsvenplein,living_street,23.96530653514019
Mw. van den Berg 13,"Saffierstraat 5, 6412SW Heerlen",50.9008009 5.9707413,3514,42048933,42049601,0,Saffierstraat,residential,11.955043088480604
Mw. Visser 14,"Prof. van Itersonstraat 14, 6419BH Heerlen",50.876933 5.9632105,1375,42016358,42017200,0,Professor van Itersonstraat,residential,25.80319976090365
Mw. Martens 15,"Heerlerbaan 55, 6418CA Heerlen",50.8714394 5.99545,696,42007118,3524056806,0,Heerlerbaan,tertiary,17.38586248864732
Dhr. Vermeulen 16,"Magdalenastraat 8, 6413HD Heerlen",50.9181908 5.9544672,4580,42065375,42066645,0,Magdalenastraat | Odiliastraat,residential,12.269078374226408
Dhr. Jacobs 17,"Prof. Lambertstraat 3, 6419BM Heerlen",50.8758503 5.9641007,1310,42015468,42015515,0,Professor Lambertstraat,residential,21.851492404073355
Mw. Kramer 18,"Homerusplein 8, 6411AW Heerlen",50.8863169 5.9699218,2120,42031809,7191989494,0,Homerusstraat,residential,73.91931720419629
Mw. Bakker 19,"Ammonieterf 293, 6413KT Heerlen",50.9100525 5.9496824,3962,42057770,9157589372,1,Ammonieterf,living_street,11.062505280668146
Dhr. Jansen 20,"Bokstraat 71, 6413AS Heerlen",50.9138521 5.9602256,4339,42061567,42060275,0,Bokstraat,tertiary,13.420452341008877
Dhr. Meijer 21,"Kaldebornweg 70, 6416HC Heerlen",50.8767842 5.9937832,1282,42015152,42016084,1,Erkstraat | Kaldebornweg | Harriët Freezerstraat,residential | living_street,14.817277573819595
Dhr. Postma 22,"Heerlerbaan 20, 6418CG Heerlen",50.8723078 5.9938468,6139,3524056806,42007118,0,Heerlerbaan,tertiary,18.93398665321151
Mw. Dekker 23,"Cambriumstraat 21, 6412DK Heerlen",50.8985557 5.9624005,3120,42045796,42047060,0,Cambriumstraat,residential,9.41196974023631
Mw. van Loon 24,"Schovenhof 16, 6418JN Heerlen",50.8723311 6.0076775,6218,4579601871,4579601874,0,Schovenhof,living_street,15.351186318479765
Mw. Schouten 25,"Akerstraat 50H, 6411HB Heerlen",50.8852271 5.9809464,5526,842289095,6764373500,0,Akerstraat,residential,16.671987536694587
Mw. Martens 26,"Hamerstraat 103, 6411CV Heerlen",50.8811851 5.9767134,1740,42023305,42024929,0,Hamerstraat,unclassified | residential,9.838334439126704
Dhr. Hendriks 27,"Tulpstraat 63-GB04,  Heerlen",50.9235901 5.9630637,5093,42071604,42071791,0,Asterstraat | Tulpstraat,residential,30.541291896627932
Mw. Postma 28,"Valkenburgerweg 24-GB04, 6411BN Heerlen",50.8861421 5.9745107,5622,1505639873,1506134788,0,Valkenburgerweg,tertiary,23.888724817589527
Mw. Mulder 29,"Van Weerden Poelmanstraat 115, 6417EL Heerlen",50.8749504 5.9835602,1103,42012563,42014347,0,Van Weerden Poelmanstraat,unclassified,15.288462058733288
Dhr. van Dijk 30,"Coriovallumstraat 38A, 6411CD Heerlen",50.8847953 5.973849,1975,42029063,588656777,0,Ververstraat | Coriovallumstraat,residential,10.895777030657971
Dhr. Schouten 31,"Benzenraderweg 65, 6417SK Heerlen",50.8804356 5.9790276,1722,42022955,42023911,0,Benzenraderweg,residential,10.27145995422835
Dhr. Vermeulen 32,"Ligusterstraat 8, 6413JB Heerlen",50.9201178 5.9587681,4697,42067564,42067672,0,Ligusterstraat,residential,12.745093814794211
Dhr. Visser 33,"Jan Campertstraat 13-GB20, 6416SG Heerlen",50.8812731 6.0083672,6447,5519714460,10918327953,0,Euregioweg,primary,68.04206148990235
Mw. Smit 34,"Akerstraat 12B, 6411HA Heerlen",50.8866452 5.9795177,5529,842289133,10583813733,0,Raadhuisplein | Doctor Poelsstraat,tertiary,78.06261398605322
Dhr. de Boer 35,"Gasthuisstraat 45, 6416AM Heerlen",50.8884922 5.9876785,2225,42034134,42035436,0,Gasthuisstraat,tertiary,102.83977390945954
Dhr. Bakker 36,"Peter Schunckstraat 606, 6418XT Heerlen",50.8641997 6.0102173,261,41996805,41996811,1,Peter Schunckstraat,residential,12.99618888113789
Mw. Kramer 37,"Riekhof 14, 6418KD Heerlen",50.8693686 6.0133491,547,42005006,42004458,1,Riekhof,living_street,14.197862020744578
Dhr. Bakker 38,"Alberdingk Thijmplein 4, 6416TJ Heerlen",50.8832912 5.9981956,1889,42027639,42028414,0,Alberdingk Thijmplein,residential,13.27077868661277
Dhr. Postma 39,"Van Weerden Poelmanstraat 97, 6417EL Heerlen",50.8750911 5.9834788,1103,42012563,42014347,0,Van Weerden Poelmanstraat,unclassified,15.457008903807747
Dhr. Kok 40,"Geerlinglaan 11, 6415XE Heerlen",50.8925912 5.9853162,5984,2875033279,2875040356,0,Geerlinglaan,residential,17.440424753489225
Mw. Bakker 41,"Palestinastraat 310, 6418HP Heerlen",50.8689542 6.0107724,471,42003229,5153765420,0,Palestinastraat,residential,18.431535890178175
Mw. de Jong 42,"Vullingsweg 54-K116, 6418HT Heerlen",50.869987 6.005348,542,42004973,42006852,0,Vullingsweg,residential,45.73116353985046
Dhr. Kok 43,"Jan Campertstraat 13-GB64, 6416SG Heerlen",50.8816998 6.0086071,6447,5519714460,10918327953,0,Euregioweg,primary,50.30529508477531
Dhr. van Loon 44,"Palestinastraat 280, 6418HP Heerlen",50.8678886 6.0120088,408,42002150,42002150,0,Palestinastraat,residential,7.849246603342804
