name,address,coordinates,care_arrangement,availability,time_window_start,time_window_end,care_hours,dogs,cats,smokes
Mw. Peters 0,"Edisonstraat 169, 6412TT Heerlen",50.9009069 5.9726029,HBH Basic,"monday,tuesday,wednesday,thursday,friday",14:00,17:30,2.5,1,1,false
Dhr. Postma 1,"Asterstraat 19, 6414PX Heerlen",50.9250126 5.9633553,HBH Basic,"monday,tuesday,wednesday,friday",14:00,18:00,3,2,0,false
Mw. Hendriks 2,"Tempsplein 13, 6411ES Heerlen",50.8849685 5.9788965,Wash & Ironing,"monday,tuesday,wednesday,thursday,friday",14:00,17:30,3,0,0,false
Dhr. Bakker 3,"Bekkerweg 133, 6417BV Heerlen",50.8785686 5.9862327,V&V,"monday,tuesday,wednesday,thursday,friday",14:00,16:30,1,0,1,false
Dhr. Jacobs 4,"Kampstraat 124, 6413EG Heerlen",50.9193216 5.9595728,HBH Basic,"monday,tuesday,wednesday,thursday,friday",14:30,16:30,1.5,0,0,true
Mw. Kuipers 5,"Maandagstraat 18, 6416BJ Heerlen",50.8869042 5.9950188,Wash & Ironing,"monday,tuesday,wednesday,thursday,friday",14:30,18:00,3,0,1,false
Dhr. Smit 6,"K.L.M.-straat 3, 6417AW Heerlen",50.874236 5.9876054,Wash & Ironing,"monday,wednesday,thursday,friday",14:00,17:30,3,0,1,true
Mw. Visser 7,"Vorstenstraat 20, 6411VW Heerlen",50.8896677 5.9651524,V&V,"monday,wednesday,thursday,friday",14:30,18:00,2,0,0,true
Mw. van der Meer 8,"Gasthuisstraat 24A, 6411KE Heerlen",50.8876999 5.9825484,V&V,"monday,tuesday,wednesday,thursday",14:30,18:00,1.5,0,0,false
Dhr. Kuipers 9,"Dokter de Weverlaan 7, 6416GN Heerlen",50.879376 5.9935534,HBH Plus,"tuesday,wednesday,thursday,friday",14:00,16:30,2,1,0,false
Mw. de Boer 10,"Dillegaard 144, 6417HK Heerlen",50.8702745 5.979561,HBH Plus,"monday,tuesday,wednesday,thursday",14:00,17:00,2.5,0,0,true
Mw. van Leeuwen 11,"Hofstraat 40, 6414SX Heerlen",50.9245429 5.973011,HBH Basic,"monday,tuesday,wednesday,thursday,friday",16:00,18:00,1,0,1,true
Mw. Bakker 12,"Burg. van Grunsvenplein 105, 6411AR Heerlen",50.8863477 5.9738006,V&V,"monday,tuesday,thursday,friday",14:00,16:30,1.5,0,1,false
Mw. van den Berg 13,"Saffierstraat 5, 6412SW Heerlen",50.9008009 5.9707413,HBH Plus,"monday,wednesday,thursday,friday",15:00,17:00,1,0,1,false
Mw. Visser 14,"Prof. van Itersonstraat 14, 6419BH Heerlen",50.876933 5.9632105,V&V,"monday,tuesday,thursday,friday",15:00,16:30,1,1,0,false
Mw. Martens 15,"Heerlerbaan 55, 6418CA Heerlen",50.8714394 5.99545,HBH Plus,"tuesday,wednesday,thursday,friday",14:00,17:30,2.5,0,1,false
Dhr. Vermeulen 16,"Magdalenastraat 8, 6413HD Heerlen",50.9181908 5.9544672,V&V,"monday,tuesday,wednesday,thursday,friday",15:00,17:30,2,0,0,false
Dhr. Jacobs 17,"Prof. Lambertstraat 3, 6419BM Heerlen",50.8758503 5.9641007,V&V,"monday,tuesday,wednesday,thursday,friday",14:00,18:00,2.5,0,0,false
Mw. Kramer 18,"Homerusplein 8, 6411AW Heerlen",50.8863169 5.9699218,Wash & Ironing,"monday,tuesday,wednesday,thursday,friday",15:00,17:30,2,0,0,false
Mw. Bakker 19,"Ammonieterf 293, 6413KT Heerlen",50.9100525 5.9496824,HBH Plus,"monday,tuesday,wednesday,thursday,friday",14:00,17:30,3,1,0,false
Dhr. Jansen 20,"Bokstraat 71, 6413AS Heerlen",50.9138521 5.9602256,HBH Plus,"monday,tuesday,wednesday,thursday,friday",14:30,17:00,1,0,0,true
Dhr. Meijer 21,"Kaldebornweg 70, 6416HC Heerlen",50.8767842 5.9937832,V&V,"monday,tuesday,thursday,friday",14:00,18:00,2,0,0,true
Dhr. Postma 22,"Heerlerbaan 20, 6418CG Heerlen",50.8723078 5.9938468,V&V,"monday,tuesday,wednesday,thursday,friday",15:00,18:00,2.5,0,0,false
Mw. Dekker 23,"Cambriumstraat 21, 6412DK Heerlen",50.8985557 5.9624005,HBH Plus,"monday,tuesday,wednesday,friday",14:30,18:00,1.5,0,0,false
Mw. van Loon 24,"Schovenhof 16, 6418JN Heerlen",50.8723311 6.0076775,Wash & Ironing,"monday,tuesday,wednesday,thursday,friday",14:00,18:00,2.5,0,1,false
Mw. Schouten 25,"Akerstraat 50H, 6411HB Heerlen",50.8852271 5.9809464,HBH Plus,"monday,tuesday,wednesday,thursday,friday",14:00,18:00,3,0,0,false
