name,address,care_arrangement,preferences,time_window_start,time_window_end,care_hours,dogs,cats,smokes,latitude,longitude
Client 1,A gen Giezen 10 6418 OY Heerlen,HBH Basic,afternoon,12:00,18:00,2.5,0,1,False,50.88365,5.98154
Client 2,Caumerweg 30 6418 IW Heerlen,HBH Basic,afternoon,12:00,18:00,3.0,2,0,False,50.88365,5.98154
Client 3,Kortstraat 7 6411 CW Heerlen,V&V,afternoon,12:00,18:00,1.5,0,2,False,50.88365,5.98154
Client 4,Oliemolenstraat 16 6411 EQ Heerlen,HBH Plus,afternoon,12:00,18:00,1.0,0,0,False,50.88365,5.98154
Client 5,September 1944-straat 9 6418 ZV Heerlen,HBH Plus,afternoon,12:00,18:00,2.5,0,0,True,50.88365,5.98154
Client 6,Welterlaan 43 6415 RL Heerlen,HBH Basic,morning,08:00,12:00,1.0,0,2,False,50.88365,5.98154
Client 7,Caumerweg 2 6418 IV Heerlen,HBH Plus,morning,08:00,12:00,1.5,0,0,True,50.8687,5.999489
Client 8,Ruys de Beerenbroucklaan 50 6411 KC Heerlen,HBH Plus,afternoon,12:00,18:00,1.0,1,0,False,50.88365,5.98154
Client 9,September 1944-straat 30 6418 TH Heerlen,HBH Basic,morning,08:00,12:00,3.0,0,2,False,50.88365,5.98154
Client 10,Julianaweg 57 6413 FI Heerlen,V&V,morning,08:00,12:00,3.0,1,0,False,50.88365,5.98154
Client 11,Corisbergweg 174 6418 CP Heerlen,HBH Plus,afternoon,12:00,18:00,1.0,0,0,False,50.88365,5.98154
Client 12,Oliemolenstraat 24 6411 RG Heerlen,V&V,morning,08:00,12:00,2.5,0,0,False,50.88365,5.98154
Client 13,Bovenste Caumer 4 6418 KN Heerlen,V&V,morning,08:00,12:00,2.5,0,0,True,50.88365,5.98154
Client 14,Wilhelminastraat 44 6412 GM Heerlen,HBH Plus,afternoon,12:00,18:00,1.0,0,0,False,50.88365,5.98154
Client 15,Lindelaan 14 6414 XW Heerlen,V&V,afternoon,12:00,18:00,1.0,0,2,False,50.88365,5.98154
Client 16,Bongerd 18 6411 HS Heerlen,Wash & Ironing,morning,08:00,12:00,1.0,0,0,False,50.88365,5.98154
Client 17,Heerlerheide 77 6413 AW Heerlen,HBH Basic,morning,08:00,12:00,2.5,0,0,False,50.9179409,5.9656306
