name,fullname,address,coordinates,time_window_start,time_window_end,available_hours,availability,dogs,cats,smokes
employee 1,Stijn Wouters,"Frankenlaan 1N, 6419BT Heerlen",50.8779418 5.9680263,10:00,16:00,6.0,"wednesday,thursday,friday",1,2,false
employee 2,Sanne van Vliet,"Vorstenstraat 20, 6411VW Heerlen",50.8896677 5.9651524,13:00,18:30,5.5,"monday,wednesday,thursday",-1,0,false
employee 3,Julia van der Meer,"Bekkerweg 133, 6417BV Heerlen",50.8785686 5.9862327,11:00,17:00,6.0,"monday,wednesday,friday",0,1,true
employee 4,Thijs Kleijn,"Grasbroekerweg 30A, 6412BE Heerlen",50.8943697 5.975717,12:30,15:30,3.0,"tuesday,wednesday,friday",-1,-1,false
employee 5,Marit Willems,"Promenade 181, 6411JG Heerlen",50.8869583 5.9754659,09:00,12:30,3.5,"monday,wednesday,thursday",-1,-1,true
employee 6,Thomas van den Berg,"Homeruspassage 18, 6411AX Heerlen",50.8858304 5.9698793,11:30,15:30,4.0,"monday,tuesday,wednesday",2,1,false
employee 7,Thijs van den Berg,"Schovenhof 16, 6418JN Heerlen",50.8723311 6.0076775,13:00,19:00,6.0,"monday,tuesday,wednesday",0,1,false
employee 8,Yara Veldhuis,"Van Weerden Poelmanstraat 97, 6417EL Heerlen",50.8750911 5.9834788,11:30,15:30,4.0,"monday,tuesday,friday",1,-1,false
employee 9,Wout Wessels,"Maandagstraat 18, 6416BJ Heerlen",50.8869042 5.9950188,11:30,16:30,5.0,"monday,wednesday,friday",1,-1,true
employee 10,Finn de Vries,"Asterstraat 19, 6414PX Heerlen",50.9250126 5.9633553,08:00,14:00,6.0,"monday,tuesday,friday",-1,1,true
employee 11,Marit Smits,"Pancratiusstraat 96, 6411KC Heerlen",50.8882602 5.9810893,08:00,14:00,6.0,"monday,tuesday,friday",-1,-1,false
employee 12,Mats Hendriks,"Jan Campertstraat 13-GB20, 6416SG Heerlen",50.8812731 6.0083672,12:30,18:00,5.5,"monday,wednesday,thursday",1,1,false
employee 13,Levi Kool,"Kloosterkoolhof 28F, 6415XT Heerlen",50.8913671 5.9877201,13:30,17:00,3.5,"tuesday,wednesday,friday",-1,1,true
employee 14,Julia Smit,"Nazarethstraat 30, 6418GD Heerlen",50.868163 6.0076985,12:30,15:30,3.0,"monday,tuesday,friday",2,-1,false
employee 15,Thijs Vos,"Maanplein 35, 6412AZ Heerlen",50.8918475 5.9746256,07:00,10:30,3.5,"tuesday,thursday,friday",1,2,false
employee 16,Stijn Hofman,"Cambriumstraat 21, 6412DK Heerlen",50.8985557 5.9624005,14:00,17:00,3.0,"monday,tuesday,wednesday",1,-1,true
employee 17,Thijs van Leeuwen,"Palestinastraat 310, 6418HP Heerlen",50.8689542 6.0107724,14:30,19:00,4.5,"tuesday,thursday,friday",-1,-1,true
employee 18,Yara Vermeulen,"Mesdagstraat 27, 6415TK Heerlen",50.8987633 5.9902372,10:00,15:30,5.5,"tuesday,wednesday,friday",-1,1,true
employee 19,Julia Wessels,"Parallelweg 137, 6411NT Heerlen",50.8908721 5.9657884,14:00,18:00,4.0,"tuesday,thursday,friday",-1,-1,true
employee 20,Joris Hoekstra,"Paulus Potterstraat 5, 6415TW Heerlen",50.8992867 5.9921575,11:00,16:30,5.5,"wednesday,thursday,friday",-1,-1,true
