name,fullname,address,coordinates,time_window_start,time_window_end,available_hours,availability,dogs,cats,smokes,vehicle_type
employee 1,Stijn Wouters,"Frankenlaan 1N, 6419BT Heerlen",50.8779418 5.9680263,09:00,17:00,8.0,"wednesday,thursday,friday",1,2,false,car
employee 2,Sanne van Vliet,"Vorstenstraat 20, 6411VW Heerlen",50.8896677 5.9651524,09:00,17:00,8.0,"monday,wednesday,thursday",-1,0,false,walking
employee 3,Julia van der Meer,"Bekkerweg 133, 6417BV Heerlen",50.8785686 5.9862327,09:00,17:00,8.0,"monday,wednesday,friday",0,1,true,bike
employee 4,Thijs Kleijn,"Grasbroekerweg 30A, 6412BE Heerlen",50.8943697 5.975717,09:00,17:00,8.0,"tuesday,wednesday,friday",-1,-1,false,car
employee 5,Marit Willems,"Promenade 181, 6411JG Heerlen",50.8869583 5.9754659,09:00,17:00,8.0,"monday,wednesday,thursday",-1,-1,true,walking
employee 6,Thomas van den Berg,"Homeruspassage 18, 6411AX Heerlen",50.8858304 5.9698793,09:00,17:00,8.0,"monday,tuesday,wednesday",2,1,false,bike
employee 7,Thijs van den Berg,"Schovenhof 16, 6418JN Heerlen",50.8723311 6.0076775,09:00,17:00,8.0,"monday,tuesday,wednesday",0,1,false,car
employee 8,Yara Veldhuis,"Van Weerden Poelmanstraat 97, 6417EL Heerlen",50.8750911 5.9834788,09:00,17:00,8.0,"monday,tuesday,friday",1,-1,false,walking
employee 9,Wout Wessels,"Maandagstraat 18, 6416BJ Heerlen",50.8869042 5.9950188,09:00,17:00,8.0,"monday,wednesday,friday",1,-1,true,bike
employee 10,Finn de Vries,"Asterstraat 19, 6414PX Heerlen",50.9250126 5.9633553,09:00,17:00,8.0,"monday,tuesday,friday",-1,1,true,car
employee 11,Marit Smits,"Pancratiusstraat 96, 6411KC Heerlen",50.8882602 5.9810893,09:00,17:00,8.0,"monday,tuesday,friday",-1,-1,false,walking
employee 12,Mats Hendriks,"Jan Campertstraat 13-GB20, 6416SG Heerlen",50.8812731 6.0083672,09:00,17:00,8.0,"monday,wednesday,thursday",1,1,false,bike
employee 13,Levi Kool,"Kloosterkoolhof 28F, 6415XT Heerlen",50.8913671 5.9877201,09:00,17:00,8.0,"tuesday,wednesday,friday",-1,1,true,car
employee 14,Julia Smit,"Nazarethstraat 30, 6418GD Heerlen",50.868163 6.0076985,09:00,17:00,8.0,"monday,tuesday,friday",2,-1,false,walking
employee 15,Thijs Vos,"Maanplein 35, 6412AZ Heerlen",50.8918475 5.9746256,09:00,17:00,8.0,"tuesday,thursday,friday",1,2,false,bike
employee 16,Stijn Hofman,"Cambriumstraat 21, 6412DK Heerlen",50.8985557 5.9624005,09:00,17:00,8.0,"monday,tuesday,wednesday",1,-1,true,car
employee 17,Thijs van Leeuwen,"Palestinastraat 310, 6418HP Heerlen",50.8689542 6.0107724,09:00,17:00,8.0,"tuesday,thursday,friday",-1,-1,true,walking
employee 18,Yara Vermeulen,"Mesdagstraat 27, 6415TK Heerlen",50.8987633 5.9902372,09:00,17:00,8.0,"tuesday,wednesday,friday",-1,1,true,bike
employee 19,Julia Wessels,"Parallelweg 137, 6411NT Heerlen",50.8908721 5.9657884,09:00,17:00,8.0,"tuesday,thursday,friday",-1,-1,true,car
employee 20,Joris Hoekstra,"Paulus Potterstraat 5, 6415TW Heerlen",50.8992867 5.9921575,09:00,17:00,8.0,"wednesday,thursday,friday",-1,-1,true,walking
