client,employee,day,startTime,lat,lon
Client 1,Eva Hendriks,4,09:00,50.8870305,5.9850058
Client 2,Luuk van Dijk,1,09:00,50.9235901,5.9630637
Client 3,Eva Hendriks,0,09:00,50.8979843,5.9881059
Client 4,Max Willems,1,13:00,50.8767842,5.9937832
Client 5,Sara Dekker,3,09:00,50.8702745,5.979561
Client 6,Thijs van Leeuwen,2,10:00,50.879376,5.9935534
Client 7,Nina Hermans,3,10:00,50.869987,6.005348
Client 8,Daan Mulder,0,14:00,50.8811851,5.9767134
Client 9,Eva Hendriks,1,11:00,50.9003376,5.9904336
Client 10,Finn Brouwer,4,13:00,50.9138521,5.9602256
Client 11,Sem Peters,3,13:00,50.8914177,5.9908083
Client 12,Thijs van Leeuwen,0,12:00,50.8863169,5.9699218
Client 13,Bram Vos,3,15:00,50.9245429,5.973011
Client 14,Daan Mulder,2,12:00,50.8932101,5.9815715
Client 15,Lotte Jacobs,0,10:00,50.9140979,5.9654213
Client 16,Lotte Jacobs,1,15:00,50.8863477,5.9738006
Client 17,Finn Brouwer,2,12:00,50.8882602,5.9810893
Client 18,Eva Hendriks,2,10:00,50.8816998,6.0086071
Client 19,Noah Smit,3,12:00,50.9155146,5.9745851
Client 20,Sara Dekker,1,09:00,50.8972321,5.9864112
Client 21,Milan Bakker,3,12:00,50.8908721,5.9657884
Client 22,Noah Smit,2,10:00,50.9245405,5.973012
Client 23,Luuk van Dijk,4,11:00,50.9009003,5.9725944
Client 24,Finn Brouwer,1,13:00,50.8846645,5.9852309
Client 25,Max Willems,2,09:00,50.8997723,5.9933272
Client 26,Julia Meijer,4,09:00,50.9008009,5.9707413
Client 27,Lars Jansen,2,16:00,50.8779418,5.9680263
Client 28,Sophie de Vries,4,12:00,50.8858304,5.9698793
Client 29,Tess Bos,1,13:00,50.9142258,5.9689164
Client 30,Zoë Kuipers,3,09:00,50.8642076,5.9762971
Client 31,Anne Verhoeven,0,11:00,50.8863785,6.0024001
Client 32,Zoë Kuipers,2,12:00,50.868163,6.0076985
Client 33,Finn Brouwer,0,13:00,50.9228834,5.9619443
Client 34,Lotte Jacobs,3,12:00,50.8714394,5.99545
Client 35,Tess Bos,2,10:00,50.8641997,6.0102173
Client 36,Anne Verhoeven,3,10:00,50.8918468,5.9746146
Client 37,Thijs van Leeuwen,3,15:00,50.8865314,5.9815941
Client 38,Nina Hermans,4,10:00,50.8749504,5.9835602
Client 39,Noah Smit,4,08:00,50.8750911,5.9834788
Client 40,Luuk van Dijk,2,13:00,50.8689542,6.0107724
Client 41,Bram Vos,2,09:00,50.8785686,5.9862327
Client 42,Anne Verhoeven,1,15:00,50.876933,5.9632105
Client 43,Sophie de Vries,0,11:00,50.8630865,6.0082392
Client 44,Sara Dekker,4,09:00,50.8853564,5.9958273
Client 45,Milan Bakker,4,10:00,50.8832912,5.9981956
Client 46,Sophie de Vries,2,10:00,50.8858869,5.9770839
Client 47,Lars Jansen,1,14:00,50.8913671,5.9877201
Client 48,Sem Peters,0,15:00,50.9250126,5.9633553
Client 49,Sara Dekker,0,14:00,50.8610292,6.0006587
Client 50,Eva Hendriks,3,11:00,50.8987633,5.9902372
Client 51,Tess Bos,0,12:00,50.9221545,5.975525
Client 52,Luuk van Dijk,0,10:00,50.8765557,5.978455
Client 53,Sara Dekker,2,12:00,50.9238593,5.9635871
Client 54,Daan Mulder,1,13:00,50.8943697,5.975717
Client 55,Max Willems,0,15:00,50.8869042,5.9950188
Client 56,Luuk van Dijk,3,10:00,50.9201178,5.9587681
Client 57,Finn Brouwer,3,12:00,50.9100525,5.9496824
Client 58,Thijs van Leeuwen,1,08:00,50.8910272,5.987952
Client 59,Lars Jansen,4,14:00,50.917894,5.9580022
Client 60,Bram Vos,1,16:00,50.8925912,5.9853162
